status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
689005071241062_900064790135088,SHARE THIS ALL OVER FACEBOOK TO HELP US EXPOSE THE FAKE MAINSTREAM MEDIA!,"White House Reporter Tries To Embarrass Sean Spicer, IMMEDIATELY Regrets It [Video]",link,http://americantoday.news/white-house-reporter-tries-to-embarrass-sean-spicer-immediately-regrets-it-video/,2017-03-31 18:41:53,27,2,7,25,0,0,1,0,1
689005071241062_899917196816514,"Ugh!
Why don't they just make coffee and zip it!
Do you think people will do this?",STARBUCKS Tries to Win Back Conservatives With Free Coffee If You Do The Unthinkable,link,http://americantoday.news/starbucks-tries-to-win-back-conservatives-with-free-coffee-if-you-do-the-unthinkable/,2017-03-31 16:59:00,9,22,3,2,0,0,7,0,0
689005071241062_899925500149017,"Disgusting abuse of power.
Watch the video!",BREAKING VIDEO : New Information Reveals Obama Was Spying on Trump Since 2015,link,http://americantoday.news/breaking-video-new-information-reveals-obama-was-spying-on-trump-since-2015/,2017-03-31 15:00:00,24,3,13,16,0,1,1,0,6
689005071241062_899911570150410,"THIS IS MASSIVE!
SHARE This Everywhere!!","BREAKING: Mike Flynn Finally Does It, Tells the FBI He Is…",link,http://americantoday.news/breaking-mike-flynn-finally-does-it-tells-the-fbi-he-is/,2017-03-31 13:45:00,13,6,6,10,0,0,3,0,0
689005071241062_899884436819790,"We gotta get this out. 
There is no time to waste!
 SHARE! SHARE! SHARE This Everywhere!!!!",BREAKING: Hillary Clinton Just CAUGHT Stealing Classified Secrets! THIS IS BAD!,link,http://americantoday.news/breaking-hillary-clinton-just-caught-stealing-classified-secrets-this-is-bad/,2017-03-31 11:59:59,53,13,53,36,1,2,2,0,12
689005071241062_899699906838243,SHARE ON FACEBOOK IF YOU SUPPORT THIS!,HE DID IT! Trump Just Came Up With GENIUS Plan To…,link,http://americantoday.news/he-did-it-trump-just-came-up-with-genius-plan-to/,2017-03-31 10:00:00,31,3,3,26,4,0,1,0,0
689005071241062_899697563505144,It will be very interesting to see how the liberal media tries to spin this...,BREAKING: Obama's 'Deep State' Operative Just Arrested For TREASON! IT'S HAPPENING!,link,http://americantoday.news/breaking-obamas-deep-state-operative-just-arrested-for-treason-its-happening/,2017-03-31 08:00:00,87,11,29,72,3,5,6,0,1
689005071241062_899689730172594,"Trump will make America safe again and Jeff Sessions is going to make it happen!
#SHARE this on your social media and spread it everywhere if you support Trump!",ROUND UP TIME: Jeff Sessions Just Did The 1 Thing That Illegal Immigrants Didn't Want Him To…,link,http://americantoday.news/round-up-time-jeff-sessions-just-did-the-1-thing-that-illegal-immigrants-didnt-want-him-to/,2017-03-31 06:00:00,25,1,11,22,2,0,1,0,0
689005071241062_899416250199942,After this It would seem that Hillary Clinton has had enough...,Hillary Clinton Breaks Down In Tears After She Got This Message From President Trump!,link,http://americantoday.news/hillary-clinton-breaks-down-in-tears-after-she-got-this-message-from-president-trump/,2017-03-30 23:00:00,45,14,10,38,3,0,4,0,0
689005071241062_899412200200347,"MIKE PENCE JUST SAVED AMERICA! 
***MAKE THIS GO VIRAL!!!",BREAKING: Obama is Finished! Mike Pence Just Put the Final Nail in His Coffin,link,http://americantoday.news/breaking-obama-is-finished-mike-pence-just-put-the-final-nail-in-his-coffin/,2017-03-30 21:20:00,59,3,7,50,7,0,1,0,1
689005071241062_899399120201655,WATCH THIS BEFORE IT'S DELETED AND THEN SPREAD IT ALL OVER FACEBOOK FOR THE WORLD TO SEE!,IT'S OVER! What Trey Gowdy Just Said On Live TV Will END Chuck Schumer's Career,link,http://americantoday.news/its-over-what-trey-gowdy-just-said-on-live-tv-will-end-chuck-schumers-career/,2017-03-30 20:00:00,66,9,21,57,3,1,4,0,1
689005071241062_899285610213006,"This is Obama's worst nightmare! Oh, and where's the mainstream media on this?",OH MY GOD! What Putin Just Exposed About Obama Will Put Him in JAIL!,link,http://americantoday.news/oh-my-god-what-putin-just-exposed-about-obama-will-put-him-in-jail/,2017-03-30 18:25:05,44,5,12,40,2,1,1,0,0
689005071241062_899290950212472,Spread this everywhere America deserves the TRUTH!,BREAKING: Barron Affected By Protesters,link,http://americantoday.news/breaking-barron-affected-by-protesters/,2017-03-30 15:25:55,16,6,1,13,0,0,0,3,0
689005071241062_899062256902008,"Do you support Trump's initiative?
1 Share = 1 Support",TRUMP ANNOUNCES He Will STOP SHARIA LAW In AMERICA ONCE & FOR ALL & HOW He'll Do It Is BRILLIANT,link,http://americantoday.news/trump-announces-he-will-stop-sharia-law-in-america-once-for-all-how-hell-do-it-is-brilliant/,2017-03-30 14:20:02,159,9,23,145,12,0,0,0,2
689005071241062_899180990223468,SHARE this to spread the word that we will no longer stand and listen to the words of traitors!!!,New Report EXPOSES 6 Top REPUBLICANS on GEORGE SOROS' PAYROLL! Guess Who's Being Paid to Stop Trump?,link,http://americantoday.news/new-report-exposes-6-top-republicans-on-george-soros-payroll-guess-whos-being-paid-to-stop-trump/,2017-03-30 12:16:52,45,19,39,22,0,2,1,2,18
689005071241062_899047910236776,SHARE this story if you think Trump really is making America great again!,Another BIG WIN For TRUMP! Liberal Media Won't Report This…,link,http://americantoday.news/another-big-win-for-trump-liberal-media-wont-report-this/,2017-03-30 10:00:08,37,0,7,37,0,0,0,0,0
689005071241062_899046096903624,The DNC is still showing side effects...,"MAJOR SCANDAL ERUPTS, TOP DEMOCRAT FIRED – LIBERALS PANICKING",link,http://americantoday.news/major-scandal-erupts-top-democrat-fired-liberals-panicking/,2017-03-30 08:00:06,8,0,1,6,0,0,2,0,0
