status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
83865976093_10154483136041094,"Large-scale raids on public housing in New York City have left families and communities of color throughout the city divided, displaced and devastated.","With Nighttime Raids, Police Wage War on Black and Brown Families in New York",link,http://www.truth-out.org/news/item/40059-with-nighttime-raids-police-wage-war-on-black-and-brown-families-in-new-york,2017-03-31 13:30:00,289,22,167,62,1,14,0,46,166
83865976093_10154483081206094,"The Trump administration is already facing two lawsuits over its move to reverse an Obama-era decision and issue a federal permit for the Keystone XL pipeline, a potent symbol of the debate over fossil fuels.",Indigenous and Environmental Groups Sue to Block Trump's Keystone XL Permit,link,http://www.truth-out.org/news/item/40056-indigenous-and-environmental-groups-sue-to-block-trump-s-keystone-xl-permit,2017-03-31 12:30:24,209,1,81,187,20,1,0,0,1
83865976093_10154483074006094,"Dan Goldberg, legal director at the group Alliance for Justice, discusses Neil Gorsuch's judicial record and the importance of informing the public of his past court decisions.",Neil Gorsuch Will Find a Way to Rule With the Corporations,link,http://www.truth-out.org/news/item/40058-neil-gorsuch-will-find-a-way-to-rule-with-the-corporations,2017-03-31 11:30:00,138,20,81,53,1,1,2,7,74
83865976093_10154483025476094,The public option and Medicare for some are being used to divide and distract supporters of Medicare for all in order to make them believe they are asking for too much.,Why This Isn't the Time for a Public Option or Medicare for Some,link,http://www.truth-out.org/opinion/item/40044-why-this-isn-t-the-time-for-a-public-option-or-medicare-for-some,2017-03-31 10:30:00,62,6,35,52,2,5,0,1,2
83865976093_10154483012071094,It has become evident that efforts to expand and retool health care services under the Affordable Care Act are necessary but not sufficient to change health outcomes for vulnerable communities -- hence more outside-the-box approaches are needed.,An Outside-the-Doctor's-Office Approach to Health Care,link,http://www.truth-out.org/news/item/40048-an-outside-the-doctor-s-office-approach-to-health-care,2017-03-31 09:26:46,41,0,19,37,4,0,0,0,0
83865976093_10154481199911094,Civil disobedience will continue to play a vital role in leading us through the treacherous waters of the Trump administration.,Jeff Sessions Gets Off Scot-Free While Protesters Get Three Days in Jail,link,http://truth-out.org/buzzflash/commentary/jeff-sessions-gets-off-scot-free-while-protesters-get-three-days-in-jail,2017-03-30 15:34:10,260,2,102,120,2,11,1,10,116
83865976093_10154481020691094,Voters who were drawn to Trump because they believed he would rein in interventionism abroad and deal with festering problems at home are in for a major disappointment.,National (In)security: What a Trump Presidency Really Means for Americans at the Edge,link,http://www.truth-out.org/news/item/40043-national-in-security-what-a-trump-presidency-really-means-for-americans-at-the-edge,2017-03-30 14:30:01,142,16,64,90,0,8,8,18,18
83865976093_10154481023716094,"With the Earth itself under attack, we cannot surrender to a ""post-truth"" era. Help us keep the lights on at Truthout, and we'll keep telling stories that matter: http://www.truth-out.org/donate-now/",Timeline Photos,photo,https://www.facebook.com/Truthout.org/photos/a.324058561093.152430.83865976093/10154481023716094/?type=3,2017-03-30 14:00:00,16,0,6,14,2,0,0,0,0
83865976093_10154480838746094,"With the threat of a new nuclear arms looming, experts say the United States has failed to commit necessary resources to clean up waste from the Manhattan Project and the Cold War.","''It's a Cover-Up, Not a Clean-Up'': Nuclear Waste Smolders in Sites Across the US",link,http://www.truth-out.org/news/item/40051-it-s-a-cover-up-not-a-clean-up-nuclear-waste-smolders-in-sites-across-the-us,2017-03-30 13:00:15,241,5,174,96,1,10,1,31,102
83865976093_10154480803036094,"Having settled a major lawsuit against the state of Michigan, Flint residents say their struggle proves that communities have the power to force change.","Flint Victory Is Replicable, Residents Say: Other Cities Should Ditch Their Lead Pipes",link,http://www.truth-out.org/news/item/40035-flint-victory-is-replicable-residents-say-other-cities-should-ditch-their-lead-pipes,2017-03-30 12:00:23,124,1,40,115,7,2,0,0,0
