status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1036253643101134_1347210265338802,Do you agree with Pelley?,"CBS' Scott Pelley Shreds Trump On Live TV, Says What No One Else Dared To - Raw Progressive",link,http://www.rawprogressive.com/2017/02/08/cbs-scott-pelley-shreds-trump-live-tv-says-no-one-else-dared/,2017-03-31 18:02:00,2170,66,141,1932,163,11,50,0,14
1036253643101134_1347316165328212,"Well done, Elizabeth!

We are with you on this...",Elizabeth Warren Takes Action Against Ivanka's New White House Job,link,http://www.bluedotdaily.com/elizabeth-warren-takes-action-against-ivankas-new-white-house-job/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-31 16:07:02,5219,220,863,4589,496,63,22,4,45
1036253643101134_1347188772007618,"Folks, NBC News just blew this story wide open!",President Obama Hand-Delivered Trump/Russia Documents to Intel Committee Before Leaving Office,link,http://theproudliberal.org/president-obama-hand-delivered-trumprussia-documents-to-intel-committee-before-leaving-office/,2017-03-31 13:40:33,8436,449,1336,6709,1146,462,109,1,9
1036253643101134_1347018992024596,"Folks, it looks like things have gone from bad to worse for Trump...

This could be the beginning of the end. Help us get the word out!",Former White House Staffer: 'Trump Is Considering Resignation',link,http://theproudliberal.org/former-white-house-staffer-trump-is-considering-resignation/,2017-03-31 10:35:04,3170,624,750,2471,302,53,322,3,19
1036253643101134_1346926522033843,"Trump's former National Security Adviser is willing to blow the whistle...in exchange for immunity.

Do you think Flynn and Team Trump are guilty?",Watch Michael Flynn Call Himself a Criminal on Meet the Press,link,http://theproudliberal.org/watch-michael-flynn-call-himself-a-criminal-on-meet-the-press/,2017-03-31 08:33:18,736,120,71,534,11,27,102,7,55
1036253643101134_1346427982083697,"This is not what a leader does, folks...","Video: Trump is Now ""Living in Fear"", The Truth is Just Too Much To Bear",link,http://www.bluedotdaily.com/video-trump-is-now-living-in-fear-the-truth-is-just-too-much-to-bear/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-31 06:31:05,1370,132,264,979,25,27,245,9,85
1036253643101134_1346376352088860,"""Wake up this morning to see you've used my Son murder to further your campaign of hate, how dare you. You are a disgrace.""","The Parents of Two Murdered Children Blast Trump, ""How Dare you. You are a Disgrace.""",link,http://theproudliberal.org/the-parents-of-two-murdered-children-blast-trump-how-dare-you-you-are-a-disgrace/,2017-03-30 20:23:00,3582,138,710,2197,37,67,8,464,809
1036253643101134_1346203818772780,"Thank you, Richard.

Well said!","Richard Branson's 5 Powerful Words For Trump Just Broke The Internet, Donald Pissed",link,http://www.rawprogressive.com/2017/03/27/richard-bransons-5-powerful-words-trump-just-broke-internet/,2017-03-30 18:06:00,2276,75,315,1936,204,19,101,7,9
1036253643101134_1346203245439504,"Congress has a price for everything it seems...

How much did your representative get from the deal?",This is How Much Each Congress Member Was Paid For Selling Your Internet Privacy,link,http://www.bluedotdaily.com/this-how-much-each-congress-member-was-paid-for-selling-your-internet-privacy/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-30 16:05:00,1742,236,1020,582,0,26,4,54,1076
1036253643101134_1346105788782583,"Republicans just voted to allow companies to sell your browsing data...

Looks like Karma's a bitch!",'Cards Against Humanity' Inventor Vows to 'Buy the Browser History of Every Congressman and...,link,http://theproudliberal.org/cards-against-humanity-inventor-vows-to-buy-the-browser-history-of-every-congressman-and-publish-it/,2017-03-30 12:45:15,2116,174,447,1432,114,34,243,15,278
1036253643101134_1346035058789656,"Well, this sure is a good punch in the gut to Team Trump...",Robert Reich Blasts Ivanka's New WH Job: Only 'Tyrants Habitually Install Family Members Around Them',link,http://theproudliberal.org/robert-reich-blasts-ivankas-new-wh-job-only-tyrants-habitually-install-family-members-around-them/,2017-03-30 11:01:01,5204,365,1530,4142,105,203,91,39,624
1036253643101134_1345470592179436,#saveMelania,Social Media Erupts Following Melania's Hypocritical Speech,link,http://theproudliberal.org/social-media-erupts-following-melanias-hypocritical-speech/,2017-03-30 09:05:01,1045,305,107,385,2,28,408,26,196
1036253643101134_1345474082179087,"Watch this folks...

Do this smell as fishy to you as it does to us?","Top Trump Adviser Makes Huge Slip on Live TV, Shows Intimate Relationship with Trump/Russia Hacker",link,http://www.bluedotdaily.com/top-trump-adviser-makes-huge-slip-on-live-tv-shows-intimate-relationship-with-trumprussia-hacker/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-30 06:25:00,1582,81,479,1072,5,152,50,8,295
1036253643101134_1345475992178896,"""It's about somebody who makes stuff up! Who doesn't read! Whose information is either anecdotal, or pulled right out of his…""","Bill Maher Just Shut Up Every Trump Supporter Who Says, 'Give Him a Chance'",link,http://theproudliberal.org/bill-maher-just-shut-up-every-trump-supporter-who-says-give-him-a-chance/,2017-03-29 20:28:41,2795,118,388,2360,181,23,210,5,16
1036253643101134_1345273125532516,Here comes the thunder!,"Eric Holder Just Made A Huge Announcement About Obama, Trump LIVID",link,http://www.rawprogressive.com/2017/03/28/eric-holder-just-made-huge-announcement-obama-trump-livid/,2017-03-29 18:31:03,4609,230,597,3817,678,36,69,0,9
1036253643101134_1345270992199396,"Buckle up, Jared...

This is going to be a bumpy ride!","Kushner's Russian Scandal Unravels, Bank Reveals What Really Happened",link,http://www.bluedotdaily.com/kushners-russian-scandal-unravels-bank-reveals-what-really-happened/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-29 16:30:13,1853,93,438,1339,21,77,158,11,247
1036253643101134_1345227828870379,"YES...

Go, April, we support you!","Reporter April Ryan Responds to Sean Spicer's Angry Outburst, 'We Are Under Attack'",link,http://theproudliberal.org/reporter-april-ryan-responds-to-sean-spicers-angry-outburst-we-are-under-attack/,2017-03-29 14:30:03,1802,93,159,1568,117,21,6,54,36
1036253643101134_1345191858873976,"Well, Mr. Branson, we agree with you. 

Bam.","Richard Branson Blasts Trump, He Is 'An Embarrassment to the World'",link,http://theproudliberal.org/richard-branson-blasts-trump-he-is-an-embarrassment-to-the-world/,2017-03-29 12:38:36,6923,286,1281,6224,532,38,111,10,8
1036253643101134_1345146928878469,Let's see if Team Trump is paying attention...,CIA Head Warning: North Korea Could Wipe Out 90% of Americans,link,http://theproudliberal.org/former-cia-head-north-korea-could-wipe-out-90-of-americans/,2017-03-29 11:43:08,851,139,348,370,5,221,16,34,205
1036253643101134_1345074795552349,"Privacy is dead...

Unless you're talking about Trump's Taxes. Unbelievable.",You Don't Like the World Knowing Your Web Browsing History? You're About to Be Really Angry...,link,http://theproudliberal.org/republicans-just-made-your-web-browsing-history-sell-able-without-your-consent/,2017-03-29 09:56:07,1507,178,420,614,3,73,24,25,768
1036253643101134_1344385345621294,We could be witnessing the rise of the next great Democratic leader...,JFK's Great Nephew Responds to Trumpcare Failure Like a Future President,link,http://theproudliberal.org/jfks-great-nephew-responds-to-trumpcare-failure-like-a-future-president/,2017-03-29 09:05:06,3808,120,357,3371,400,13,23,1,0
1036253643101134_1344945382231957,Things just got hotter for Jeff Sessions...,"Movement Launched to Charge Jeff Sessions with Perjury on Russian Scandal, Citizens Across 5 States Join",link,http://www.bluedotdaily.com/movement-launched-to-charge-jeff-sessions-with-perjury-on-russian-scandal-citizens-across-5-states-join/,2017-03-29 06:25:49,1524,66,164,1321,123,8,58,1,13
1036253643101134_1344398728953289,Even the coal executives are calling BS on Trump...,Coal executive: Trump 'can't bring mining jobs back',link,http://thehill.com/policy/energy-environment/325891-coal-executive-trump-cant-bring-mining-jobs-back,2017-03-29 02:00:00,1147,141,423,903,14,56,128,20,26
1036253643101134_1344397578953404,"Hey Republicans -

Still think Trump has nothing to hide?",Trump administration sought to block Sally Yates from testifying to Congress on Russia,link,https://www.washingtonpost.com/world/national-security/trump-administration-sought-to-block-sally-yates-from-testifying-to-congress-on-russia/2017/03/28/82b73e18-13b4-11e7-9e4f-09aa75d3ec57_story.html?tid=sm_fb&utm_term=.8c047ca89b42,2017-03-28 23:05:00,1152,58,357,719,13,39,84,9,288
1036253643101134_1344392452287250,"Yes - Trump will be the President for ALL Americans...

As long as you're white. [And a man.]",Sean Spicer: No Hispanics on Cabinet; Trump Only Wanted the 'Best and Brightest',link,http://theproudliberal.org/sean-spicer-trump-only-wanted-the-best-and-brightest/,2017-03-28 19:40:07,1239,403,297,471,1,30,100,48,589
1036253643101134_1344361352290360,"Listen up, Republicans...

THIS is the problem, not Obamacare!","Primary Care Doctor Explains: ""The Problem Isn't Obamacare…It's The Insurance Companies""",link,http://www.bluedotdaily.com/primary-care-doctor-explains-the-problem-isnt-obamacare-its-the-insurance-companies/?utm_source=facebook&utm_medium=PL&utm_campaign=facebook_PL,2017-03-28 16:30:00,6822,406,3769,6030,386,45,14,52,295
