status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1036841469686059_1314547928582077,"He's trying to undermine American programs so his American programs look better....?
What sense does that make?!?!",Trump Goes After ObamaCare After Failure of TrumpCare.,link,http://democraticreview.com/trump-breaks-his-silence-about-trumpcare-failure-obamacare-will-explode/,2017-03-31 19:00:00,245,41,71,81,1,10,36,9,108
1036841469686059_1316063585097178,The infighting intensifies!,Trump Voters Turn on Ryan,link,https://newsforthedigitalage.com/2017/03/31/trump-voters-turn-on-paul-ryan/,2017-03-31 18:33:24,545,80,82,357,37,10,131,2,8
1036841469686059_1314546995248837,Like and share if you AGREE with him!,Former GOP Congressman Attacks Trump's Intelligence on TV.,link,http://democraticreview.com/former-gop-congressman-just-said-trump-is-too-dumb-to-be-president-on-live-tv-ouch-video/,2017-03-31 17:30:00,222,18,74,171,13,2,33,1,2
1036841469686059_1314545615248975,Trump keeps pushing the envelope but even his friends won't let it go that far...,"""Why Don't You Go Jump Off A Bridge?"" Trump Ally Turns on Him After Trump Crosses Another Line.",link,http://democraticreview.com/why-dont-you-go-jump-off-a-bridge-trumps-1-gop-backer-just-turned-on-him-details/,2017-03-31 16:00:00,428,26,126,290,8,23,97,3,7
1036841469686059_1314544838582386,Maybe don't tell your constituents to shut up then?,"All Hell Breaks Loose After GOP Tells Constituent To ""Shut Up"" At Town Hall [Video]",link,http://democraticreview.com/all-hell-breaks-loose-after-gop-tells-constituent-to-shut-up-at-town-hall-video/,2017-03-31 14:30:00,337,55,103,163,5,21,58,3,87
1036841469686059_1314544535249083,"HA, how many Americans like seeing liars get put in their place?","Trumper Ghoul Jeffrey Lord Tries To Revive Wiretap Story, CNN Host Just Shut Him Up Brutally [Video]",link,http://democraticreview.com/trumper-ghoul-jeffrey-lord-tries-to-revive-wiretap-story-cnn-host-just-shut-him-up-brutally-video/,2017-03-31 13:00:00,527,39,58,395,24,4,97,1,6
1036841469686059_1314543831915820,"Cuban rips into Trump with no REMORSE!
Like and share if you think he hit the nail on the head!","Mark Cuban Taunts Trump, Says Why He Has ""No Leadership Skills...""",link,http://democraticreview.com/mark-cuban-taunts-trump-says-why-he-has-no-leadership-skills-its-vicious-video/,2017-03-31 11:30:00,353,26,83,301,28,2,22,0,0
1036841469686059_1314543308582539,An update of the Trump-Russia Scandal for those who've been following.,"John McCain Just Accused A GOP Senator Of ""Working For Vladimir Putin"" [Details]",link,http://democraticreview.com/john-mccain-just-accused-a-gop-senator-of-working-for-vladimir-putin-details/,2017-03-31 10:30:00,354,31,86,289,9,33,18,1,4
1036841469686059_1314542811915922,"When will this long, national embarrassment end?",Forbes Just Called Trump Out For Lying About How Rich He Is.,link,http://democraticreview.com/forbes-just-called-trump-out-for-lying-about-how-rich-he-is-its-so-embarrassing/,2017-03-31 09:00:00,1889,136,431,1287,29,38,410,22,103
1036841469686059_1314542315249305,Do you think he hit the nail on the head?,Morning Joe Is Facing Heat From MSNBC After Calling Trump Something Other Anchors Won't.,link,http://democraticreview.com/morning-joe-is-facing-heat-from-msnbc-after-calling-trump-a-________________-no-other-network-has-said-this-yet/,2017-03-31 07:30:00,463,42,41,397,24,11,25,1,5
