status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1911476465739018_1948980465321951,"Badass Texas Governor Greg Abbott is ready to put the leaders of sanctuary cities in jail, and I support him 100%!

Do you support Gov. Abbott's plan?","BREAKING: Texas to JAIL ""Sanctuary City"" Leaders. Do You Support the Plan?",link,http://donaldtrumpnews.co/news/breaking-texas-jail-sanctuary-city-leaders-support-plan/,2017-03-31 18:30:35,636,84,110,598,35,0,3,0,0
1911476465739018_1948367298716601,"BREAKING – The Mexican president just completely surrendered to President Donald J. Trump.

I told you Trump would beat him!",BREAKING: Mexican President Surrenders to Trump,link,http://conservativefighters.com/news/breaking-mexican-president-surrenders-trump/,2017-03-30 21:12:12,646,37,120,595,35,3,13,0,0
1911476465739018_1948324838720847,"Gary Sinise was just honored in the most amazing way possible.

He absolutely deserves this. He is a true legend.

Can we get 5,000 'LIKES' for Gary?!",Actor And Proud Patriot Gary Sinise Receives Highest Honor That The Military Gives To Civilians,link,http://donaldtrumpnews.co/news/actor-proud-patriot-gary-sinise-receives-highest-honor-military-gives-civilians,2017-03-30 19:15:00,279,12,21,258,21,0,0,0,0
1911476465739018_1948320258721305,"WATCH: These Muslims attacked a man on a train...

Then, they realized they messed with the WRONG infidel!","WATCH: Muslim Brats Attack Man, Realize They Messed With The Wrong Infidel!",link,http://donaldtrumpnews.co/news/watch-muslim-brats-attack-man-realize-messed-wrong-infidel,2017-03-30 18:43:47,52,11,12,32,0,2,0,1,17
1911476465739018_1948065948746736,"SIGN THE PETITION!

The following petition has been launched by We the People to make Trey Gowdy the new DIRECTOR of the FBI.

Millions of Americans support Trey Gowdy - do you?","PETITION: 100,000 Signatures For Trey Gowdy as DIRECTOR of the FBI.",link,http://conservativefighters.com/trey-gowdy-petition/,2017-03-30 08:41:23,418,50,96,385,30,3,0,0,0
1911476465739018_1947760172110647,"CAN WE GET 10,000 'LIKES' FOR PRESIDENT TRUMP?!",NEWS BREAKING: Trump Makes Historic Announcement For First Time In 16 Years…,link,http://donaldtrumpnews.co/news/news-breaking-trump-makes-historic-announcement-first-time-16-years/,2017-03-29 22:15:00,487,9,19,462,22,0,1,0,2
1911476465739018_1947759688777362,"Trey Gowdy just shut James Comey up to his face.

Comey was speechless!

Can we get 10,000 Likes for fearless Rep. Gowdy?","""I'll Take It From Here"", Gowdy Just Shut Comey Up And Put Him In His Place",link,http://donaldtrumpnews.co/news/ill-take-gowdy-just-shut-comey-put-place/,2017-03-29 21:15:56,422,18,31,386,29,4,3,0,0
1911476465739018_1947798118773519,"SIGN THE PETITION!

The following petition has been launched by We the People to make Trey Gowdy the new DIRECTOR of the FBI.

Millions of Americans support Trey Gowdy - do you?","PETITION: 100,000 Signatures For Trey Gowdy as DIRECTOR of the FBI.",link,http://conservativefighters.com/trey-gowdy-petition/,2017-03-29 21:03:21,1238,149,231,1143,95,0,0,0,0
1911476465739018_1947759098777421,"Should Obama face FELONY CHARGES?

LIKE = YES!",BREAKING: NEW OBAMA SCANDAL BLOWS OPEN – Shocking Proof of FELONY,link,http://donaldtrumpnews.co/news/breaking-new-obama-scandal-blows-open-shocking-proof-felony/,2017-03-29 20:18:20,637,98,73,592,14,5,2,1,23
1911476465739018_1947758668777464,"After President Donald J. Trump cancelled a woman's food stamps, she went absolutely nuts… and it is all on camera!
This woman loses her mind!","WATCH: Trump Cancels Woman's Food Stamps, She GOES INSANE on Camera",link,http://donaldtrumpnews.co/news/watch-trump-cancels-womans-food-stamps-goes-insane-camera/,2017-03-29 19:14:51,247,69,36,166,9,5,49,6,12
