status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22931596946_10154510872651947,"Meet some of the 2017 Community Heroes nominated by you, our community! These are the people working every day to make progress in their own communities, following in the social justice footsteps of Cesar Chavez. http://bit.ly/ChavezHeroes",media.giphy.com,link,https://media.giphy.com/media/dvz4X446JEkAE/giphy.gif,2017-03-31 11:20:00,7,0,1,5,1,0,1,0,0
22931596946_10154483393751947,,Equal Voice News's cover photo,photo,https://www.facebook.com/EqualVoiceNews/photos/a.10150607559871947.386588.22931596946/10154483393751947/?type=3,2017-03-30 20:43:59,10,0,1,10,0,0,0,0,0
22931596946_10154508309866947,"Trump's budget targets federal programs he says don't work. But if he manages to cut the CDBG program, it's families and children who will suffer most.",A Program Trump Wants to Kill Helps Build Neighborhoods | EQUAL VOICE NEWS,link,http://www.equalvoiceforfamilies.org/a-program-trump-wants-to-kill-is-the-building-block-of-neighborhoods/,2017-03-30 08:19:00,8,0,2,4,0,0,0,0,4
22931596946_10154507529756947,"Alabama has long been a seedbed for regressive policies and, of course, now Attorney General Jeff Sessions is from the state. But it's also an important center for resistance efforts, writes Greater Birmingham Ministries Reverend Angie Wright. 

Discover what activists are doing to #StandAsOne and fight policies that harm immigrants, LGBT people, people of color, Muslims and other marginalized groups!",On How Alabama Is Blazing a Trail of Social Justice Resistance | EQUAL VOICE NEWS,link,http://www.equalvoiceforfamilies.org/opinion-on-how-alabama-is-blazing-a-trail-of-social-justice-resistance/,2017-03-29 14:31:54,12,0,1,8,3,0,1,0,0
22931596946_10154504904576947,"As ""sanctuary city"" leaders fight the White House to continue protecting immigrants in their city, some immigrants struggle in ways most of us can't imagine. 

""Now, they took away everything, and you are living a nightmare,"" said Thao, who added that he felt safer hiding from government soldiers in the jungles of Laos than in Fresno today. ""We have no rights at all…We have a broken dream.""",America's Stateless People: How Immigration Gaps Create Poverty | EQUAL VOICE NEWS,link,http://bit.ly/29NLAgy,2017-03-28 12:11:26,8,1,1,8,0,0,0,0,0
22931596946_10154492251726947,"Every other Thursday, Equal Voice News will track the latest from the Trump administration and whether its policies are creating poverty or prosperity, with reports from families and grassroots organizations working on those issues around the country.","Making It in Trump's America: Latest on Policy, Poverty & Families – Fifth Edition | EQUAL VOICE NEWS",link,http://bit.ly/2nHnSw6,2017-03-23 16:12:30,7,0,1,5,0,0,2,0,0
22931596946_10154476968721947,"March 20 marks the 60th day of the Trump administration. 

As a candidate, Donald Trump said he'd make the economy work for the country. His actions, though, point to broken promises. For working families and communities of color, the challenges might only have just begun.",EQUAL VOICE NEWS,link,http://bit.ly/2nOtuRA,2017-03-20 07:30:00,538,88,65,264,4,8,20,37,205
22931596946_10154468765641947,,Repeal and Replace: The True Cost of Repealing Obamacare,video,https://www.facebook.com/EqualVoiceNews/videos/10154468765641947/,2017-03-14 15:51:45,15,1,5,9,0,0,0,3,3
22931596946_10154468728721947,"Hank Adcock and 20 million other insured are the reality behind the political theater of health care. Obamacare saved his family farm. 

It's more than just repeal and replace. What is the true cost to families of repealing Obamacare? Who will it really affect? We need to look out for the Hank Adcocks of America",Repeal and Replace: The True Cost of Repealing Obamacare | EQUAL VOICE NEWS,link,http://bit.ly/2mld1Ek,2017-03-14 15:17:04,884,122,221,598,8,18,12,124,124
22931596946_10154454393321947,"Every other Thursday, Equal Voice News will track the latest from the Trump administration and whether its policies are creating poverty or prosperity, with reports from families and grassroots organizations working on those issues around the country.

March isn't even half over, and the Trump administration has already flooded the nation's capital with news on multiple fronts, from health care and criminal justice to immigration and child care. Catch up on the latest:","Making It in Trump's America: Latest on Policy, Poverty & Families – Dispatch 4 | EQUAL VOICE NEWS",link,http://bit.ly/2mj6EUD,2017-03-09 15:03:06,18,0,7,18,0,0,0,0,0
