status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
306406853053018_396474234046279,Like our page for MORE Mean Left Hook Politics.,Timeline Photos,photo,https://www.facebook.com/MeanLeftHookPolitics/photos/a.307425942951109.1073741827.306406853053018/396474234046279/?type=3,2017-03-31 18:53:47,365,57,178,207,9,2,143,3,1
306406853053018_396473957379640,Like our page for MORE Mean Left Hook Politics.,Timeline Photos,photo,https://www.facebook.com/MeanLeftHookPolitics/photos/a.307425942951109.1073741827.306406853053018/396473957379640/?type=3,2017-03-31 17:38:43,495,18,76,431,38,1,24,0,1
306406853053018_397292403964462,"""Dumbtrumpistan"" t-shirt back by popular demand.  

President Urine Troff has continued to be a sh!t stain of bipedal white trash bigotry since his swearing in. Sad times for the U.S. now that AmeriKKKa has reared its ugly head.

If you feel like you too are now living in a foreign country, with Russia having hacked our elections, and the Alt-Right danks of society squealing around you in racist glee like overfed pigs, then you might be in a red state!

FIGHT BACK/PROTEST/PROTECT YOUR RIGHTS!!! This is the PERFECT way to show true patriotic Americans how you really feel. - kyle​

https://teespring.com/dumbtrumpistan#pid=369&cid=6513&sid=front",Buy Your Dumbtrumpistan Tee NOW!,link,https://teespring.com/dumbtrumpistan#pid=369&cid=6513&sid=front,2017-03-31 17:36:01,1,0,1,1,0,0,0,0,0
306406853053018_397352340625135,A nice reminder that common decency can defeat bigotry and ignorance.,'Hulking Tattooed' Veteran Shames A Pro-Trump Anti-Muslim Hater Amid Cheers,link,http://samuel-warde.com/2017/02/hulking-tattooed-veteran-shames-trump-supporter/,2017-03-31 17:06:00,38,0,3,31,6,1,0,0,0
306406853053018_396863714007331,A higher minimum wage is good for everyone.,"A Fast Food CEO Raised The Wages Of His Employees, And Got The Surprise Of His Life",link,http://meanlefthook.com/2017/01/a-fast-food-ceo-raised-the-wages-of-his-employees-and-got-the-surprise-of-his-life/,2017-03-31 15:06:00,65,1,10,61,4,0,0,0,0
306406853053018_397286013965101,Will they succeed?,This Group Of About 3-Dozen Republicans Are Determined To Sabotage Trump's Plans,link,http://samuel-warde.com/2017/03/3-dozen-republicans-sabotage-trump-agenda/,2017-03-31 14:36:00,14,1,2,7,3,1,3,0,0
306406853053018_397279707299065,The latest on a story that is moving at warp speed.,"Morning Joe: ""Trump Is Putin's Dupe"" And Why It Is Getting Obvious Even To Republicans (Video)",link,http://americannewsx.com/hot-off-the-press/morning-joe-trump-putins-dupe/,2017-03-31 14:06:00,91,4,22,77,4,2,8,0,0
306406853053018_397275640632805,"LOCK HIM UP. (seems being ""behind bars"" is the new Black in fashion)

Resistance works! #LockHimUp is fast becoming one of our best selling t-shirts. Our guess why? Everyone is celebrating our huge with last week with saving Obamacare and the even juicier nugget -Trump being under criminal investigation by the FBI.

Get your now: Order here>>>> https://teespring.com/lock-him-up-3301#pid=2&cid=2397&sid=front",Liberal America,photo,https://www.facebook.com/LiberalAmerica.org/photos/a.189557011193079.1073741828.180213475460766/856831204465653/?type=3,2017-03-31 13:36:03,13,1,0,13,0,0,0,0,0
306406853053018_397264283967274,Great to know!,You Might Lose Your Cajones If You Grab This Hijab,link,http://meanlefthook.com/2017/03/muslims-how-to-defend-yourself-against-a-hijab-grab/,2017-03-31 13:06:00,5,0,3,5,0,0,0,0,0
306406853053018_396473430713026,"Via The Daily Edge
Like our page for MORE Mean Left Hook Politics.",Timeline Photos,photo,https://www.facebook.com/MeanLeftHookPolitics/photos/a.307425942951109.1073741827.306406853053018/396473430713026/?type=3,2017-03-31 12:38:41,217,19,138,127,0,4,3,13,70
306406853053018_396902964003406,Karma's a bitch. We told her so. Etc. etc. almost makes you feel sorry for her.,Instant Karma: Trump Supporter's Husband Being Deported,link,http://meanlefthook.com/2017/03/instant-karma-trump-supporters-husband-deported/,2017-03-31 12:06:00,96,18,13,66,1,4,23,2,0
