status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
501786380024121_637872049748886,This is HILARIOUS!,Patriotic Folks,video,https://www.facebook.com/patrioticfolks/videos/935342256602887/,2016-12-20 15:16:59,213,16,0,135,8,0,69,1,0
501786380024121_615527458650012,"After everything calmed down, he came back on stage and continued! This is the leader America needs!!",Donald Trump Assaination FOILED By Supporters,link,http://thetruthdivision.com/2016/11/breaking-trump-rushed-off-stage-reports-of-firearm-in-audience/,2016-11-05 22:09:07,28,4,5,27,0,1,0,0,0
501786380024121_611987355670689,,Patriotic Folks,link,http://thetruthdivision.com/2016/10/shock-man-votes-straight-ticket-republican-but-look-what-the-receipt-was-missing/,2016-10-29 21:41:40,11,5,0,5,0,1,0,1,4
501786380024121_608893392646752,WOAH! Spread this to your friends and family!!,"ALERT: If You See A ""Smartmatic"" Voting Machine At The Polls, Here's What You MUST Do...",link,http://thetruthdivision.com/2016/10/alert-see-smartmatic-voting-booth-polls-heres-must/,2016-10-23 20:32:36,34,4,149,32,0,0,1,0,1
501786380024121_599788296890595,VOTE AND SHARE!,TAKE OUR POLL: Who Won The Vice-Presidential Debate?,link,http://thetruthdivision.com/2016/10/take-our-poll-who-won-the-vice-presidential-debate/,2016-10-04 21:57:14,9,17,4,9,0,0,0,0,0
501786380024121_599697230233035,Holy cow!,Liberals Mock Trump's 1995 Losses... But LOOK How Much Steve Jobs Lost in 1997,link,http://thetruthdivision.com/2016/10/liberals-mock-trumps-losses-1995-look-much-steve-jobs-lost-1997/,2016-10-04 16:10:49,24,5,25,24,0,0,0,0,0
501786380024121_596463357223089,He was just getting warmed up!!,BREAKING: Trump Admits Why He Didn't Hit Hillary Harder... Then Makes An HUGE Promise,link,http://thetruthdivision.com/2016/09/breaking-trump-admits-why-he-didnt-hit-hillary-harder-then-makes-an-huge-promise/,2016-09-27 09:57:02,26,5,5,24,2,0,0,0,0
501786380024121_594829154053176,UNITY!,Ted Cruz Finally Honors His Pledge,link,http://thetruthdivision.com/2016/09/ted-cruz-finally-honors-pledge/,2016-09-23 14:50:39,17,4,3,15,1,0,1,0,0
501786380024121_594719734064118,,"BUSTED: Michelle Obama Caught Red-Handed, Now Being SUED For Fraud",link,http://thetruthdivision.com/2016/09/busted-michelle-obama-caught-red-handed-now-being-sued-for-fraud/,2016-09-23 09:35:58,29,2,7,22,0,2,0,0,5
501786380024121_594433514092740,Awesome!!,"One Business Is BOOMING During Charlotte Riots, Proves Obama Fails AGAIN",link,http://thetruthdivision.com/2016/09/one-business-is-booming-while-charlotte-riots-take-place-proves-liberals-fail-again/,2016-09-22 17:18:55,6,1,1,5,0,0,0,0,1
501786380024121_594370914099000,Nailed it.,"Obama Silent About Charlotte Riots, So Trump Makes Presidential Statement FOR HIM",link,http://thetruthdivision.com/2016/09/obama-silent-about-charlotte-riots-so-trump-makes-presidential-statement-for-him/,2016-09-22 12:40:09,46,4,12,37,7,0,2,0,0
501786380024121_594068627462562,,"SICK: Hillary Draws A Small Crowd, Then Uses Disabled Woman As Her Political PROP",link,http://thetruthdivision.com/2016/09/sick-hillary-draws-a-small-crowd-then-uses-disabled-woman-as-her-political-prop/,2016-09-21 20:41:45,9,4,6,1,0,1,0,0,7
501786380024121_594026620800096,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/first-time-year-ted-cruz-praises-donald-trump/,2016-09-21 18:00:57,6,0,0,5,0,0,1,0,0
501786380024121_593871877482237,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/shock-state-dept-spokesperson-defects-from-obama-tells-the-truth-about-refugees/,2016-09-21 09:42:12,9,3,0,4,1,1,0,0,3
501786380024121_593238394212252,Awesome!,"MOMENTUM: Hillary Draws 200, Trump Draws 8,000 At Rival Events [MUST SEE PICS]",link,http://thetruthdivision.com/2016/09/boom-hillary-draws-200-trump-draws-8000-rival-events/,2016-09-19 20:28:42,96,7,29,87,4,0,5,0,0
501786380024121_593038170898941,Wow.,Illegal Muslim Migrant Issues 9 SHOCKING Words To Court After Violent Rape...,link,http://thetruthdivision.com/2016/09/illegal-migrant-issues-9-shocking-words-sexual-assault-watch-america/,2016-09-19 10:03:34,1,2,3,1,0,0,0,0,0
501786380024121_592792787590146,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/dnc-chair-finally-addresses-hillarys-911-episode-makes-hilarious-excuse/,2016-09-18 20:39:17,6,4,0,2,0,0,4,0,0
501786380024121_592752197594205,*facepalm*,"Reporter Asks Tim Kaine A Simple Question, Answered With A MIND-BLOWING Lie...",link,http://thetruthdivision.com/2016/09/tim-kaines-latest-lie/,2016-09-18 18:14:36,15,8,8,9,0,0,6,0,0
501786380024121_592272387642186,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/trump-fan-takes-elizabeth-warren-selfie-video-wins-watch/,2016-09-17 17:11:44,15,0,0,11,1,0,3,0,0
501786380024121_592256920977066,,"Muslims Caught Stealing $3 MILLION In Welfare, Then Give An OUTRAGEOUS Excuse...",link,http://thetruthdivision.com/2016/09/muslims-caught-stealing-3-million-in-welfare-then-gives-an-outrageous-excuse/,2016-09-17 16:05:18,12,1,6,5,0,0,0,0,7
501786380024121_591922764343815,Love this!!,"Trump Asked About US-Cuba Relations, Instantly Promises To Do The OPPOSITE Of Obama",link,http://thetruthdivision.com/2016/09/trump-asked-us-cuba-relations-instantly-promises-opposite-obama/,2016-09-16 19:14:16,3,1,1,3,0,0,0,0,0
501786380024121_591422594393832,BUSTED!,EXPOSED: Look What We Discovered About The Pastor That Interrupted Trump...,link,http://thetruthdivision.com/2016/09/exposed-look-what-we-discovered-about-the-pastor-that-interrupted-trump/,2016-09-15 12:06:08,31,12,11,19,0,3,4,3,2
501786380024121_590569331145825,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/breaking-katie-courics-misleading-edits-come-back-to-bite-gun-lovers-are-cheering/,2016-09-13 12:09:51,0,2,0,0,0,0,0,0,0
501786380024121_589880514548040,,Patriotic Folks,video,https://www.facebook.com/patrioticfolks/videos/860690117401435/,2016-09-11 21:16:01,119,7,0,84,5,0,30,0,0
501786380024121_589809057888519,,"OOPS: Hillary Disqualifies Herself... Three Days BEFORE Her Latest ""Medical Episode""",link,http://thetruthdivision.com/2016/09/oops-1-tweet-proves-hillary-accidentally-disqualified/,2016-09-11 17:10:11,3,1,4,1,0,1,1,0,0
501786380024121_589259707943454,,Patriotic Folks,link,http://thetruthdivision.com/2016/09/trumps-vp-responds-hillarys-basket-deplorables-comment-blows-away/,2016-09-10 12:36:40,38,4,0,34,4,0,0,0,0
501786380024121_588917934644298,Vote and Share!!,TAKE OUR POLL: Would you support Greta Van Susteren As Trump's Secretary Of State?,link,http://thetruthdivision.com/2016/09/take-poll-support-greta-van-susteren-trumps-secretary-state/,2016-09-09 18:14:41,74,20,12,68,4,0,1,0,1
