status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
827052560703226_1296042640470880,,Trump scrubs Obama's Twitter feed and parts of WhiteHouse.Gov - HNN - Higgins News Network,link,http://alexanderhiggins.com/trump-scrubs-obamas-presidential-twitter-feed-parts-whitehouse-gov/,2017-01-21 00:16:49,1,0,0,1,0,0,0,0,0
827052560703226_1296009133807564,,Anti-Trump Protester Reacts As Donald Trump Is Sworn In - HNN - Higgins News Network,link,http://alexanderhiggins.com/anti-trump-protester-reacts-donald-trump-sworn/,2017-01-20 23:18:31,0,1,0,0,0,0,0,0,0
827052560703226_1293030057438805,,Former Trump advisor says CIA tried to assassinate him - HNN - Higgins News Network,link,http://alexanderhiggins.com/former-trump-advisor-says-cia-tried-assassinate/,2017-01-18 01:14:07,5,0,0,0,0,3,0,0,2
827052560703226_1290613377680473,,New Radioactive Isotopes Found in Fracking Waste Being Buried In Landfills - HNN - Higgins News Network,link,http://alexanderhiggins.com/new-radioactive-isotopes-found-fracking-waste/,2017-01-15 16:57:47,2,0,1,1,0,0,0,1,0
827052560703226_1289689421106202,,"Facebook says WhatsApp government snooping ""backdoor"" is ""excepted behavior"" - HNN - Higgins News Network",link,http://alexanderhiggins.com/backdoor-facebooks-whatsapp-allows-snooping-private-communications/,2017-01-14 21:23:38,2,0,0,0,0,1,0,0,1
827052560703226_1289390057802805,,Scientists switch on predatory kill instinct in mice - HNN - Higgins News Network,link,http://alexanderhiggins.com/scientists-switch-predatory-kill-instinct-mice/,2017-01-14 15:44:15,1,0,0,1,0,0,0,0,0
827052560703226_1287617064646771,,Social Networks Develop Deep Packet Inspection Backdoors For Govt Spying - HNN - Higgins News Network,link,http://alexanderhiggins.com/social-networks-develop-deep-packet-inspection-backdoors-for-govt-spying/,2017-01-13 01:13:00,1,0,0,1,0,0,0,0,0
827052560703226_1286325334775944,,FBI: Hostile Actors Gained Access To Hillary Clinton's Private Emails - HNN - Higgins News Network,link,http://alexanderhiggins.com/fbi-hostile-actors-gained-access-hillary-clintons-private-emails/,2017-01-11 20:40:46,2,0,0,2,0,0,0,0,0
827052560703226_1286215308120280,,CNN Challenges Trump Over Buzz Feed Fake News Coverage - HNN - Higgins News Network,link,http://alexanderhiggins.com/cnn-challenges-trump-buzz-feed-fake-news-coverage/,2017-01-11 18:24:23,1,0,0,1,0,0,0,0,0
827052560703226_1286202931454851,,"""You are FAKE NEWS"" - Trump Blasts Reporter At First Press Conference Since Election - HNN - Higgins News Network",link,http://alexanderhiggins.com/fake-news-trump-blast-line-reporter/,2017-01-11 18:04:49,1,0,0,1,0,0,0,0,0
827052560703226_1285325778209233,,Blackmailed With Golden Showers Sex Tape Russia Cultivated Trump For 5 Years Claims Leaked Report - HNN - Higgins News Network,link,http://alexanderhiggins.com/leaked-report-claims-trump-cultivated-russia-blackmailed-golden-showers-russian-sex-tape/,2017-01-10 23:01:08,4,1,0,2,0,0,0,0,2
