status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
15418366158_10155357811721159,The Democratic Party's Russia narrative takes a hit.,Prof. Cohen: Not One Piece of Factual Evidence That Russia 'Hacked the Election',link,https://pjmedia.com/trending/2017/03/31/prof-stephen-cohen-not-one-piece-of-factual-evidence-that-russia-hacked-the-election/?utm_source=PJMFacebook&utm_medium=post,2017-03-31 18:36:05,367,9,147,328,4,10,25,0,0
15418366158_10155358116251159,She has something to say about what she said.,"Former Obama Official Walks Back MSNBC Comments, Blames Russian 'Fake News' for Spreading Story",link,https://pjmedia.com/video/evelyn-farkas-walks-back-msnbc-comments-blames-russian-fake-news-for-spreading-story/?utm_source=PJMFacebook&utm_medium=post,2017-03-31 17:36:50,186,58,39,63,0,5,106,0,12
15418366158_10155357695751159,"In today's press briefing at The White House, Press Secretary Sean Spicer took issue with the lack of interest from the news media when it came to the Russians and Hillary Clinton.",RussiaGate: Hillary Clinton and John Podesta's Troubling Ties to Russia,link,https://pjmedia.com/trending/2017/03/29/russiagate-hillary-clinton-and-john-podestas-troubling-ties-to-russia/?utm_source=PJMFacebook&utm_medium=post,2017-03-31 14:20:19,107,5,64,83,1,7,2,1,13
15418366158_10155355787941159,📹 : Campus Reform,Undercover Video Captures Students Wanting to Ban Professors Who Support President Trump,link,https://pjmedia.com/video/we-dont-want-our-professors-to-be-people-who-voted-for-donald-trump/?utm_source=PJMFacebook&utm_medium=post,2017-03-31 04:45:00,45,5,14,19,0,4,1,2,19
15418366158_10155355814201159,He went there...,"WATCH: Geraldo Drops ""Treason"" on the House Freedom Caucus",link,https://pjmedia.com/video/geraldo-says-the-freedom-caucus-committed-treason/?utm_source=PJMFacebook&utm_medium=post,2017-03-31 02:41:01,41,49,8,16,0,3,4,0,18
15418366158_10155355766851159,😷,Police Investigating Coca-Cola Cans Contaminated With Human Waste,link,https://pjmedia.com/lifestyle/2017/03/29/police-investigating-coca-cola-cans-contaminated-with-human-waste/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 22:16:00,28,17,12,6,0,9,3,1,9
15418366158_10155355374816159,This little girl...is a threat?,5-Year-Old Caitlin Suspended from School for Pretending a Stick Was a Gun,link,https://pjmedia.com/trending/2017/03/30/5-year-old-suspended-from-school-for-pretending-a-stick-was-a-gun/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 20:25:00,401,101,282,101,0,23,24,18,235
15418366158_10155354925571159,Doctors have  pretty big ❤️ ❤️ ❤️  for so many lives.,PJ Media Lifestyle,photo,https://www.facebook.com/PJMLifestyle/photos/a.291508101750.153857.100133201750/10154221398396751/?type=3,2017-03-30 15:12:32,8,0,0,7,1,0,0,0,0
15418366158_10155353057666159,Shocked at this...,CA Public School Punished for Having Too Many White Students,link,https://pjmedia.com/trending/2017/03/29/ca-public-school-punished-for-having-too-many-white-students/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 13:07:03,83,14,27,23,0,19,1,4,36
15418366158_10155350440261159,This is a _______________ punishment.,Sixth-Grader Cited for Trespassing After Cutting Through Yards to Get to Bus Stop,link,https://pjmedia.com/parenting/2017/03/28/sixth-grader-cited-for-trespassing-after-crossing-yards-to-get-to-bus-stop/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 11:07:02,25,32,7,13,0,6,2,1,3
15418366158_10155353053331159,How does this work?,Wellesley Faculty Says Free Speech Infringes on Liberty,link,https://pjmedia.com/trending/2017/03/29/wellesley-faculty-says-free-speech-infringes-on-liberty/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 09:45:02,80,25,45,30,0,13,12,0,25
15418366158_10155353068221159,,"Congressman: No, Conservatives Didn't Bring Down AHCA",link,https://pjmedia.com/trending/2017/03/29/congressman-no-conservatives-didnt-bring-down-ahca/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 04:47:00,51,5,16,46,1,3,1,0,0
15418366158_10155353049601159,"She's ""just forwarding"" a ""rumor""...",Massachusetts Lawmaker Warns Illegal Immigrants about Raids,link,https://pjmedia.com/trending/2017/03/29/massachusetts-lawmaker-warns-illegal-immigrants-about-raid/?utm_source=PJMFacebook&utm_medium=post,2017-03-30 00:45:00,41,6,1,19,0,2,2,0,18
15418366158_10155353031706159,🇺🇸,Act of Congress Makes This First National Vietnam War Veterans Day,link,https://pjmedia.com/news-and-politics/2017/03/29/act-of-congress-makes-this-first-national-vietnam-war-veterans-day/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 22:07:00,545,14,105,495,49,0,1,0,0
15418366158_10155353015981159,,"Former Obama Official Describes Last Minute Rush to Spy on Trump Team, Conceal Intel Sources",link,https://pjmedia.com/trending/2017/03/29/former-obama-official-describes-last-minute-rush-to-spy-on-trump-team-conceal-intel-sources/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 20:29:46,375,11,161,214,2,32,6,4,117
15418366158_10155352709126159,Is The White House press corps avoiding this story?,RussiaGate: Hillary Clinton and John Podesta's Troubling Ties to Russia,link,https://pjmedia.com/trending/2017/03/29/russiagate-hillary-clinton-and-john-podestas-troubling-ties-to-russia/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 18:17:24,443,31,235,303,5,31,12,4,88
15418366158_10155352302591159,"Happy National Mom and Pop Business Owners Day!

Thanks for being the go-to spots for keeping our pantries stocked, our closets full of style, our pets happy - and everything else that makes our lives a bit more easier.",Timeline Photos,photo,https://www.facebook.com/PJMedia/photos/a.353531481158.189900.15418366158/10155352302591159/?type=3,2017-03-29 15:25:17,26,1,12,23,3,0,0,0,0
15418366158_10155351993521159,"""What we all said would happen has happened, and at Disneyland no less.""",'Large Burly Man' Lurking in Disney Ladies' Room Should Make Everyone Rethink Trans Rights,link,https://pjmedia.com/parenting/2017/03/28/large-burly-man-lurking-in-disney-ladies-room-should-make-everyone-stop-and-think/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 12:24:13,424,36,348,229,1,30,12,5,147
15418366158_10155350425656159,This course is a _______________ idea.,"Ohio School to Offer Course on Critical Thinking, Fake News",link,https://pjmedia.com/parenting/2017/03/27/ohio-school-plans-to-offer-course-on-fake-news-and-critical-thinking/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 09:45:00,15,2,7,11,1,0,2,0,1
15418366158_10155350361376159,"""Words of fear and loathing can, and do, have real consequences.""",UN 'Human Rights Chief: 'Legal Obligation To Stop Hate Speech',link,https://pjmedia.com/homeland-security/2017/03/28/un-human-rights-chief-legal-obligation-to-stop-hate-speech/?utm_source=PJMFacebook&utm_medium=post,2017-03-29 00:15:00,129,88,36,36,0,3,28,0,62
15418366158_10155350143176159,"""You can't put a fiscal gun to the head of cities in order to push another policy,"" said Mayor Eric Garcetti.",L.A. Mayor: Trump's Sanctuary City Crackdown Violates Constitution,link,https://pjmedia.com/news-and-politics/2017/03/28/l-a-mayor-trumps-sanctuary-city-crackdown-violates-constitution/?utm_source=PJMFacebook&utm_medium=post,2017-03-28 22:11:00,524,495,115,92,1,6,284,7,134
15418366158_10155350135766159,The Senate floor is apparently not the only place where Senator Chuck Schumer goes after opponents.,Report: Senator Schumer Harasses Well-Connected Woman at Manhattan Restaurant Because She Voted for Trump,link,https://pjmedia.com/trending/2017/03/28/report-sen-schumer-harasses-well-connected-woman-at-ny-restaurant-because-she-voted-for-trump/?utm_source=PJMFacebook&utm_medium=post,2017-03-28 20:07:00,108,46,21,35,0,8,3,2,60
15418366158_10155349979181159,📍: Rollins College,Christian Student Suspended After Challenging Muslim Prof's Denial of Christ's Crucifixion,link,https://pjmedia.com/faith/2017/03/28/christian-student-suspended-after-challenging-muslim-profs-denial-of-christs-crucifixion/?utm_source=PJMFacebook&utm_medium=post,2017-03-28 18:29:49,225,24,57,62,0,16,0,7,140
15418366158_10155349704681159,"These books aren't being banned because of excess sex, adult themes or drug use...",Principal Bans 'Bad' Books That Kids Actually Want To Read,link,https://pjmedia.com/parenting/2017/03/28/principal-bans-bad-books-that-kids-actually-want-to-read/?utm_source=PJMFacebook&utm_medium=post,2017-03-28 16:16:01,40,8,14,23,0,7,0,1,9
15418366158_10155347536061159,"Moms, what your response to this?",Study Shows Older Mothers are Better Mothers,link,https://pjmedia.com/parenting/2017/03/27/study-shows-older-mothers-are-better-mothers/?utm_source=PJMFacebook&utm_medium=post,2017-03-28 09:45:00,18,18,2,13,3,0,1,0,1
