status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1202208636511729_1376462672419657,Should Barack Hussein Obama be HELD ACCOUNTABLE for violating the law?,Hannity Just DROPPED A NUKE on Obama!,link,https://www.truthmonitor.com/2017/03/hannity-just-dropped-a-nuke-on-obama/,2017-03-31 17:44:00,681,728,80,516,16,5,75,5,64
1202208636511729_1376451985754059,THIS JUST IN:,TERROR AT MAJOR AIRPORT - Trump Was Right...,link,https://www.truthmonitor.com/2017/03/muslim-jihadists-caught-working-at-airport-thats-not-even-the-worst-part/,2017-03-31 16:11:00,140,213,36,70,1,22,13,6,28
1202208636511729_1376450735754184,DO YOU STILL SUPPORT PRESIDENT Donald J. Trump??,RUSH DROPS NUKE - Reveals the TRUTH About Trump Scandal,link,https://www.truthmonitor.com/2017/03/rush-limbaugh-goes-nuclear-destroys-traitors-turning-on-trump/,2017-03-31 14:22:00,454,376,76,314,9,9,53,2,67
1202208636511729_1376355485763709,The truth is FINALLY out...,JUST IN: Huma Abedin's Emails Leak – Reveal Hillary Clinton's Criminal Secret…,link,https://www.truthmonitor.com/2017/03/just-in-huma-abedins-emails-leak-reveal-hillary-clintons-criminal-secret/,2017-03-31 12:26:44,108,163,36,70,1,6,19,1,11
1202208636511729_1376354402430484,"*RED ALERT*
This just in...",MASSIVE EXPLOSION IN NYC - PLEASE PRAY....,link,https://www.truthmonitor.com/2017/03/terror-in-nyc-please-pray/,2017-03-31 10:44:00,112,80,37,55,2,33,6,14,2
1202208636511729_1375617929170798,CNN won't report this...!,Trump Makes History In MASSIVE Announcement – For The First Time In 16 Years…,link,https://www.truthmonitor.com/2017/03/trump-makes-history-in-massive-announcement-for-the-first-time-in-16-years/,2017-03-31 09:11:00,211,263,46,130,7,2,41,3,28
1202208636511729_1376294042436520,Does he deserve to lose his job??,FBI Dir. James Comey Gets Some CAREER-ENDING NEWS,link,https://www.truthmonitor.com/2017/03/fbi-dir-james-comey-gets-some-career-ending-news/,2017-03-31 09:10:01,415,250,72,358,3,3,26,1,24
1202208636511729_1375616652504259,"GOOD! 

Do you agree??",JUST IN: Top Trump Aide FIRED – Leaving White House IMMEDIATELY,link,https://www.truthmonitor.com/2017/03/just-in-top-trump-aide-fired-leaving-white-house-immediately/,2017-03-31 07:38:00,189,80,53,134,5,23,22,0,5
1202208636511729_1375614105837847,,Timeline Photos,photo,https://www.facebook.com/TheTruthMonitor/photos/a.1212647538801172.1073741828.1202208636511729/1375614105837847/?type=3,2017-03-31 05:01:00,5069,351,633,4976,38,8,2,2,43
1202208636511729_1375802135819044,Disgusting Attacks Against Mike Pence Exposed By Liz Wheeler,WD Americans Online,video,https://www.facebook.com/1969250316633715/videos/2288983651327045/,2017-03-30 22:53:32,242,186,0,176,20,3,27,6,10
1202208636511729_1375609885838269,GOOD RIDDANCE...!,HAH! Look at Who Just Got Arrested – Democrats Panicking!,link,https://www.truthmonitor.com/2017/03/hah-look-at-who-just-got-arrested-democrats-panicking/,2017-03-30 21:33:00,149,62,32,123,4,5,17,0,0
1202208636511729_1375609089171682,DO YOU STILL SUPPORT THE TRUMP FAMILY??,Melania Trump Makes Heartbreaking Announcement About Barron – Please Send Prayers,link,https://www.truthmonitor.com/2017/03/melania-trump-makes-heartbreaking-announcement-about-barron-please-send-prayers/,2017-03-30 20:15:00,3343,1584,286,2492,119,27,120,185,400
1202208636511729_1375608609171730,GREAT NEWS!!!,BREAKING: Mike Pence Casts Tie-Breaking Vote To KILL Major Obama Law,link,https://www.truthmonitor.com/2017/03/just-in-mike-pence-casts-tie-breaking-vote-on-this-democrats-furious/,2017-03-30 18:33:00,265,114,18,146,11,3,3,2,100
1202208636511729_1375508659181725,Best thing I've seen in WEEKS!!,Sean Spicer DESTROYS Smug Liberal Reporter - Watch His Pathetic Reaction...,link,https://www.truthmonitor.com/2017/03/cnns-jim-acosta-mouths-off-to-sean-spicer-immediately-wishes-he-hadnt/,2017-03-30 17:11:00,98,99,15,65,2,1,9,1,20
1202208636511729_1375454645853793,Should blocking the freeway to riot be a FELONY??,Anti-Trump Protesters Block Traffic in Florida to Riot... Watch Them Get a NASTY SURPRISE!,link,https://www.truthmonitor.com/2017/03/watch-anti-trump-protesters-block-traffic-in-florida-get-nasty-surprise-from-police/,2017-03-30 15:33:00,361,216,53,294,6,5,32,0,24
